Pas	Proportion
1142	0.68100
1143	0.68100
1144	0.68100
1145	0.68100
1146	0.68110
1147	0.68110
1148	0.68120
1149	0.68120
1150	0.68140
1151	0.68140
1152	0.68150
1153	0.68150
1154	0.68150
1155	0.68150
1156	0.68150
1157	0.68150
1158	0.68150
1159	0.68150
1160	0.68160
1161	0.68160
1162	0.68170
1163	0.68170
1164	0.68200
1165	0.68200
1166	0.68200
1167	0.68200
1168	0.68210
1169	0.68210
1170	0.68220
1171	0.68220
1172	0.68220
1173	0.68220
1174	0.68220
1175	0.68220
1176	0.68220
1177	0.68220
1178	0.68220
1179	0.68220
1180	0.68220
1181	0.68220
1182	0.68220
1183	0.68220
1184	0.68240
1185	0.68240
1186	0.68240
1187	0.68240
1188	0.68240
1189	0.68240
1190	0.68240
1191	0.68240
1192	0.68240
1193	0.68240
1194	0.68240
1195	0.68240
1196	0.68240
1197	0.68240
1198	0.68240
1199	0.68240
1200	0.68250
1201	0.68250
1202	0.68260
1203	0.68260
1204	0.68260
1205	0.68260
1206	0.68260
1207	0.68260
1208	0.68260
1209	0.68260
1210	0.68280
1211	0.68280
1212	0.68280
1213	0.68280
1214	0.68300
1215	0.68300
1216	0.68300
1217	0.68300
1218	0.68310
1219	0.68310
1220	0.68310
1221	0.68310
1222	0.68310
1223	0.68310
1224	0.68310
1225	0.68310
1226	0.68310
1227	0.68310
1228	0.68320
1229	0.68320
1230	0.68320
1231	0.68320
1232	0.68320
1233	0.68320
1234	0.68330
1235	0.68330
1236	0.68350
1237	0.68350
1238	0.68350
1239	0.68350
1240	0.68350
1241	0.68350
1242	0.68350
1243	0.68350
1244	0.68360
1245	0.68360
1246	0.68360
1247	0.68360
1248	0.68370
1249	0.68370
1250	0.68370
1251	0.68370
1252	0.68380
1253	0.68380
1254	0.68380
1255	0.68380
1256	0.68380
1257	0.68380
1258	0.68390
1259	0.68390
1260	0.68400
1261	0.68400
1262	0.68400
1263	0.68400
1264	0.68400
1265	0.68400
1266	0.68400
1267	0.68400
1268	0.68400
1269	0.68400
1270	0.68410
1271	0.68410
1272	0.68420
1273	0.68420
1274	0.68420
1275	0.68420
1276	0.68430
1277	0.68430
1278	0.68440
1279	0.68440
1280	0.68440
1281	0.68440
1282	0.68440
1283	0.68440
1284	0.68440
1285	0.68440
1286	0.68440
1287	0.68440
1288	0.68440
1289	0.68440
1290	0.68440
1291	0.68440
1292	0.68440
1293	0.68440
1294	0.68440
1295	0.68440
1296	0.68450
1297	0.68450
