n	Experimental	Theoretical
884	46.65600	47.44563
885	47.52700	47.47246
886	46.62400	47.49927
887	47.41100	47.52607
888	47.94400	47.55285
889	47.51900	47.57962
890	47.92100	47.60637
891	47.87500	47.63311
892	48.22600	47.65983
893	46.88200	47.68654
894	48.42100	47.71323
895	47.91700	47.73991
896	47.30200	47.76657
897	47.15500	47.79322
898	48.04700	47.81985
899	48.18300	47.84647
900	47.92700	47.87307
901	48.19600	47.89966
902	47.35300	47.92624
903	47.87300	47.95280
904	47.70300	47.97934
905	48.41300	48.00587
906	47.34800	48.03239
907	49.14200	48.05889
908	47.85600	48.08537
909	49.02700	48.11184
910	48.20000	48.13830
911	47.64300	48.16474
912	48.18500	48.19117
913	47.91800	48.21758
914	47.78700	48.24398
915	49.34200	48.27037
916	48.32700	48.29674
917	48.24100	48.32309
918	48.58600	48.34943
919	48.50100	48.37576
920	48.51800	48.40207
921	47.93800	48.42837
922	48.75700	48.45466
923	48.68300	48.48093
924	48.53900	48.50718
925	47.93700	48.53342
926	48.25900	48.55965
927	49.41300	48.58586
928	48.65200	48.61206
929	49.19100	48.63825
930	48.35500	48.66442
931	49.08200	48.69057
932	48.99300	48.71672
933	48.07000	48.74285
934	48.79500	48.76896
935	50.09300	48.79506
936	49.18600	48.82115
937	48.96900	48.84722
938	49.08900	48.87328
939	48.78700	48.89932
940	48.84900	48.92535
941	48.21200	48.95137
942	49.07500	48.97738
943	48.74400	49.00337
944	49.66800	49.02934
945	48.57800	49.05530
946	49.03800	49.08125
947	49.45100	49.10719
948	49.12000	49.13311
949	49.67500	49.15901
950	48.64500	49.18491
951	50.02400	49.21079
952	47.62100	49.23665
953	49.00100	49.26251
954	49.89700	49.28835
955	49.60300	49.31417
956	48.83100	49.33998
957	51.08100	49.36578
958	49.40500	49.39157
959	49.85800	49.41734
960	49.92600	49.44310
961	49.86700	49.46884
962	49.47600	49.49457
963	49.38200	49.52029
964	49.44500	49.54600
965	49.79200	49.57169
966	49.75100	49.59737
967	50.14100	49.62303
968	50.00100	49.64868
969	49.96500	49.67432
970	50.00400	49.69995
971	49.71000	49.72556
972	50.62500	49.75116
973	50.41200	49.77674
974	49.60000	49.80232
975	49.67300	49.82787
976	50.24200	49.85342
977	49.71500	49.87895
978	49.94500	49.90447
979	49.71400	49.92998
980	50.55200	49.95548
981	49.57700	49.98096
982	49.61500	50.00642
983	49.83100	50.03188
984	50.03400	50.05732
985	49.25400	50.08275
986	49.95000	50.10817
987	50.86300	50.13357
988	50.83300	50.15896
989	50.55200	50.18434
990	50.19200	50.20970
991	49.68500	50.23506
992	50.70500	50.26039
993	50.55900	50.28572
994	51.11300	50.31103
995	50.16900	50.33634
996	50.27300	50.36162
996	50.23500	50.36162
997	50.60400	50.38690
998	51.17200	50.41216
999	50.56900	50.43741
1000	50.48200	50.46265
1001	50.47400	50.48788
1002	50.13100	50.51309
1003	50.04800	50.53829
1004	49.64000	50.56348
1005	49.68800	50.58865
1006	50.41600	50.61381
1007	49.78000	50.63896
1008	51.19000	50.66410
1009	50.15300	50.68922
1010	51.53500	50.71434
1011	50.95400	50.73944
1012	51.41500	50.76452
1013	51.34200	50.78960
1014	50.55900	50.81466
1015	50.92600	50.83971
1016	50.83400	50.86475
1017	51.01000	50.88978
1018	50.97900	50.91479
1019	50.96900	50.93979
1020	50.50700	50.96478
1021	51.67000	50.98976
1022	52.45900	51.01472
1023	51.29800	51.03967
1024	51.38600	51.06461
1025	51.19400	51.08954
1026	50.91000	51.11446
1027	50.48800	51.13936
1028	51.24200	51.16425
1029	50.66400	51.18913
1030	52.02400	51.21400
1031	49.77800	51.23885
1032	51.55300	51.26369
1033	51.34400	51.28853
1034	50.66900	51.31335
1035	51.51200	51.33815
1036	50.85400	51.36295
1037	50.04800	51.38773
1038	52.07700	51.41250
1039	51.22800	51.43726
1040	50.68800	51.46201
1041	50.95500	51.48674
1042	52.39200	51.51147
1043	51.83800	51.53618
1044	51.49800	51.56088
1045	51.39100	51.58557
1046	51.01800	51.61024
1047	52.10600	51.63491
1048	51.74200	51.65956
1049	51.56100	51.68420
1050	51.82100	51.70883
1051	51.92100	51.73345
1052	51.93100	51.75805
1053	51.30300	51.78265
1054	52.27800	51.80723
1055	51.35600	51.83180
1056	51.84100	51.85636
1057	52.89600	51.88091
1058	52.10300	51.90544
1059	52.27200	51.92997
1060	52.91700	51.95448
1061	51.88800	51.97898
1062	52.10400	52.00347
1063	51.62500	52.02795
1064	51.13800	52.05241
1065	51.52000	52.07687
1066	51.45800	52.10131
1067	52.79400	52.12574
1068	52.17000	52.15016
1069	52.09700	52.17457
1070	51.52900	52.19897
1071	52.65900	52.22336
1072	52.31000	52.24773
1073	52.22100	52.27210
1074	52.34800	52.29645
1075	52.78300	52.32079
1076	52.63100	52.34512
1077	52.34600	52.36944
1078	52.81200	52.39374
1079	51.84100	52.41804
1080	52.60900	52.44232
1081	52.79900	52.46660
1082	52.90600	52.49086
1083	52.48500	52.51511
1084	52.18900	52.53935
1085	52.75400	52.56358
1086	52.63100	52.58780
1087	52.81900	52.61200
1088	52.98800	52.63620
1089	52.25700	52.66038
1090	52.66400	52.68455
1091	53.02300	52.70872
1092	52.85900	52.73287
1093	52.36400	52.75701
1094	52.66300	52.78113
1095	51.85200	52.80525
1096	52.76800	52.82936
1097	52.82700	52.85345
1098	53.05600	52.87754
1099	52.38800	52.90161
1100	52.88600	52.92567
1101	53.26900	52.94973
1102	52.90900	52.97377
1103	52.91200	52.99780
1104	53.07700	53.02182
1105	52.64900	53.04582
1106	53.44700	53.06982
1107	52.47100	53.09381
1108	53.39300	53.11778
1109	53.21300	53.14175
1110	53.57400	53.16570
1111	52.56700	53.18964
1112	53.36700	53.21358
1113	53.74600	53.23750
1114	53.43800	53.26141
1115	52.81300	53.28531
1116	52.79100	53.30920
1117	52.98600	53.33308
1118	54.32300	53.35695
1119	54.01800	53.38080
1120	53.23500	53.40465
1121	54.12200	53.42849
1122	53.54800	53.45231
1123	53.67100	53.47613
1124	54.15200	53.49993
1125	53.38800	53.52372
1126	54.20900	53.54751
1127	54.74800	53.57128
1128	53.46900	53.59504
1129	53.95100	53.61879
1130	52.48100	53.64253
1131	54.21300	53.66626
1132	53.23100	53.68998
1133	54.01800	53.71369
1134	53.96000	53.73739
1135	52.77600	53.76108
1136	55.03700	53.78476
1137	54.63800	53.80843
1138	53.16100	53.83208
1139	54.08200	53.85573
1140	53.89800	53.87937
1141	54.64100	53.90299
1142	53.38700	53.92661
1143	53.84500	53.95021
1144	53.82400	53.97381
1145	54.28500	53.99739
1146	54.84000	54.02097
1147	54.01100	54.04453
